"Name","learning_rate","weight_decay","random_state","fr_char_p","fr_word_p","train_batch_size","eval/loss","train/loss","eval/bleu"
"mild-sweep-23","0.000012729724430065956","0.3","93","0.5292728572040654","0.8169895347130811","","","",""
"revived-sweep-22","0.00008054606933228954","0.2","73","0.6570887504770326","0.535181395162199","16","0.8275527954101562","1.0779","0.1632"
"divine-sweep-21","0.00008559962899402622","0.4","62","0.03243736195515745","0.5648366046450309","32","0.9782457947731018","1.515","0.1233"
"dashing-sweep-20","0.000018365774380557045","0","33","0.6950745331999398","0.6315139211293634","16","1.6479883193969729","2.1718","0.3201"
"fiery-sweep-19","0.000026733197939103445","0.4","46","0.9798554083161206","0.6455377104522179","16","1.3803977966308594","1.7856","0.1879"
"prime-sweep-18","0.0000532394271498261","0","42","0.24313205293327156","0.7778402247944849","16","1.0349831581115725","1.3317","0.1928"
"royal-sweep-17","0.00005265797338936395","0.3","99","0.4855691819253918","0.7827792300152938","32","1.2505104541778564","1.7695","0.184"
"different-sweep-16","0.00001675653757507072","0.5","94","0.1959135889129512","0.7485540308930689","16","1.862533688545227","2.4044","0.1011"
"crisp-sweep-15","0.000010157015803306629","0.1","51","0.8152659819755708","0.25217777682441567","16","2.821608066558838","2.9723","0.1768"
"deep-sweep-14","0.000016309409527089323","0.4","28","0.8730261213976264","0.4116910733476695","32","3.122957229614258","3.1852","0.1955"
"deep-sweep-13","0.00003258298326401811","0.2","53","0.4290777985675047","0.7691841415029403","32","1.8150233030319216","2.3126","0.1035"
"stilted-sweep-12","0.00007466189181320055","0.1","33","0.9925196849794278","0.5033215757385101","16","0.8440887928009033","1.1218","0.0799"
"good-sweep-11","0.000027148907956079023","0","67","0.07829254891472481","0.34714377709225885","32","2.152219295501709","2.7583","0.1708"
"honest-sweep-10","0.00004699787959118334","0.1","86","0.6482336834863698","0.7277102293052928","32","1.298965573310852","1.8832","0.0399"
"curious-sweep-9","0.00002574550805950882","0.5","66","0.45383480026821976","0.6949786896923799","16","1.376021146774292","1.7915","0.1201"
"wild-sweep-8","0.000011034508735684643","0.2","60","0.7250845816356037","0.27335136133725585","16","2.7936763763427734","2.8645","0.0711"
"legendary-sweep-7","0.00005701774364178817","0","47","0.9931550143296924","0.6667230664547277","32","1.360717535018921","1.8118","0.2118"
"dulcet-sweep-6","0.00002385080085692304","0.5","50","0.1842738909631877","0.518384826188599","32","2.290076971054077","2.7725","0.0951"
"amber-sweep-5","0.000012765864849650427","0.1","37","0.0903871409287953","0.6332305472522839","32","3.5870625972747803","3.6833","0.3452"
"stellar-sweep-4","0.00001811227443556402","0.3","15","0.8518358264648556","0.5513812628289267","32","2.867849111557007","3.1637","0.1839"
"azure-sweep-3","0.00002293365187533291","0","96","0.033502228381703136","0.8482075007498606","16","1.6433310508728027","2.104","0.2297"
"silvery-sweep-2","0.00001432281648016104","0.3","16","0.3576433535863165","0.6511131173439595","32","3.387085437774658","3.3997","0.1915"
"visionary-sweep-1","0.00002325726571780745","0.2","36","0.4718958995013616","0.7418459967638069","32","2.421475410461426","2.7912","0.1459"
