wolof_special_chars
ï
é
û
î
ç
Ô
â
Î
Â
Ñ
Ë
Ç
É
ñ
È
ô
è
à
ë
Ù
Ê
À
Ó
ó
Û
Ï
ù
ê
ŋ
Ŋ
